Datum,Uhrze,Valutadatum,Produkt,ISIN,Beschreibung,FX,Änderung,,Saldo,,Order-ID
17-08-2026,09:31,17-08-2026,,,Überweisung auf Ihr Geldkonto bei der flatexDEGIRO Bank: 20’000 CHF,,,,CHF,20335.08,
17-08-2026,09:31,17-08-2026,,,Degiro Cash Sweep Transfer,,CHF,-20000.00,CHF,335.08,
17-08-2026,08:36,14-08-2026,,,Einzahlung,,CHF,20000.00,CHF,20335.08,
05-08-2026,07:53,05-08-2026,,,Überweisung auf Ihr Geldkonto bei der flatexDEGIRO Bank: 13.69 CHF,,,,CHF,335.08,
05-08-2026,07:53,05-08-2026,,,Degiro Cash Sweep Transfer,,CHF,-13.69,CHF,321.39,
05-08-2026,06:33,04-08-2026,,,Währungswechsel (Einbuchung),,CHF,16.03,CHF,335.08,
05-08-2026,06:33,04-08-2026,,,Währungswechsel (Ausbuchung),1.2391,USD,-19.86,USD,0.00,
05-08-2026,06:33,04-08-2026,,,Währungswechsel (Ausbuchung),,CHF,-2.34,CHF,319.05,
05-08-2026,06:33,04-08-2026,,,Währungswechsel (Einbuchung),1.0692,EUR,2.50,EUR,0.00,
04-08-2026,14:22,31-07-2026,,,Einrichtung von Handelsmodalitäten 2026 (Canadian Securities Exchange (CSE) - CSE),,EUR,-2.50,EUR,-2.50,
04-08-2026,07:22,03-08-2026,,,Gebühr für Kapitalmaßnahme,,USD,-1.80,USD,19.86,
04-08-2026,07:22,03-08-2026,DYNEX CAPITAL INC,US26817Q8868,Dividende,,USD,30.94,USD,21.66,
04-08-2026,07:22,03-08-2026,DYNEX CAPITAL INC,US26817Q8868,Dividendensteuer,,USD,-9.28,USD,-9.28,
03-08-2026,03:49,03-08-2026,,,Überweisung auf Ihr Geldkonto bei der flatexDEGIRO Bank: 16.67 CHF,,,,CHF,321.39,
03-08-2026,03:49,03-08-2026,,,Degiro Cash Sweep Transfer,,CHF,-16.67,CHF,304.72,
01-08-2026,06:34,31-07-2026,,,Währungswechsel (Einbuchung),,CHF,16.67,CHF,321.39,
01-08-2026,06:34,31-07-2026,,,Währungswechsel (Ausbuchung),1.0769,EUR,-17.95,EUR,0.00,
31-07-2026,07:31,31-07-2026,,,Überweisung auf Ihr Geldkonto bei der flatexDEGIRO Bank: 0.06 CHF,,,,CHF,304.72,
31-07-2026,07:31,31-07-2026,,,Degiro Cash Sweep Transfer,,CHF,-0.06,CHF,304.66,
31-07-2026,07:20,30-07-2026,CARREFOUR SA,FR0000120172,Dividende,,EUR,23.94,EUR,17.95,
31-07-2026,07:20,30-07-2026,CARREFOUR SA,FR0000120172,Dividendensteuer,,EUR,-5.99,EUR,-5.99,
31-07-2026,06:31,30-07-2026,,,Währungswechsel (Einbuchung),,CHF,0.06,CHF,304.72,
31-07-2026,06:31,30-07-2026,,,Währungswechsel (Ausbuchung),1.0802,EUR,-0.06,EUR,0.00,
30-07-2026,12:09,07-05-2026,,,Gebühr für Kapitalmaßnahme,,EUR,-6.56,EUR,0.06,
30-07-2026,12:09,07-05-2026,SANOFI SA,FR0000120578,Dividendensteuer,,EUR,61.80,EUR,6.62,
30-07-2026,12:09,07-05-2026,,,Gebühr für Kapitalmaßnahme,,EUR,6.56,EUR,-55.18,
30-07-2026,12:09,07-05-2026,SANOFI SA,FR0000120578,Dividende,,EUR,-247.20,EUR,-61.74,
30-07-2026,12:08,07-05-2026,SANOFI SA,FR0000120578,Dividende,,EUR,247.20,EUR,185.46,
30-07-2026,12:08,07-05-2026,SANOFI SA,FR0000120578,Dividendensteuer,,EUR,-61.74,EUR,-61.74,
