Datum,Uhrzeit,Produkt,ISIN,Referenzbörse,Ausführungsort,Anzahl,Kurs,,Wert in Lokalwährung,,Wert CHF,Wechselkurs,AutoFX-Gebühr,Transaktionsgebühren und/oder Fremdkosten,Gesamt CHF,Order-ID
09-07-2026,00:00,ELSE NUTRITION HOLDINGS INC,CA2902576099,CSE,,8,0.2000,CAD,-1.60,CAD,-0.91,1.7507,0.00,,-0.91,
09-07-2026,00:00,ELSE NUTRITION HOLDINGS INC,CA2902575000,TOR,,-80,0.0200,CAD,1.60,CAD,0.91,1.7507,0.00,,0.91,
12-06-2026,17:20,"ASANA, INC. CLASS A",US04342Y1047,NSY,CDED,-30,7.3650,USD,220.95,USD,175.97,1.2556,-0.44,-1.85,173.68,b4157343-4e2d-4e20-8a87-c3f33d6b0cca
12-06-2026,15:52,VANGUARD FTSE ALL-WORLD UCITS - (USD) ACCUMULATING ETF,IE00BK5BQT80,LSE,AQXE,17,186.2200,USD,-3165.74,USD,-2523.09,1.2547,-6.31,-2.77,-2532.16,f10c615f-595e-4015-9cc2-6ef21e3a83f0
09-06-2026,16:42,VANGUARD FTSE ALL-WORLD UCITS - (USD) ACCUMULATING ETF,IE00BK5BQT80,LSE,XLON,17,186.5200,USD,-3170.84,USD,-2526.32,1.2551,-6.32,-2.77,-2535.41,ed64215d-57a8-42a2-9f68-b2a7cf613bff
09-06-2026,16:18,VANGUARD S&P 500 UCITS ETF USD ACC,IE00BFMXXD54,LSE,XLON,26,143.0000,USD,-3718.00,USD,-2962.84,1.2549,-7.41,-2.77,-2973.02,0e218898-ef99-4ba5-9999-c37c7abdc73d
09-06-2026,15:39,ISHARES NASDAQ 100 UCITS ETF USD (ACC),IE00B53SZB19,LSE,XLON,2,1703.0000,USD,-3406.00,USD,-2711.27,1.2562,-6.78,-2.77,-2720.82,dad60a5a-61e9-4b09-ae02-373f819d8a94
24-02-2026,10:30,TATTOOED CHEF INC,US87663X1028,OTC,,-110,0.0000,USD,0.00,USD,0.00,1.2943,0.00,,0.00,
09-02-2026,10:55,VANGUARD S&P 500 UCITS ETF USD ACC,IE00BFMXXD54,LSE,MSEU,29,133.2000,USD,-3862.80,USD,-2984.23,1.2944,-7.46,-2.76,-2994.45,8bcdb9e1-55e4-42a9-9a1c-4084c1a4f03a
09-02-2026,10:47,VANGUARD FTSE ALL-WORLD UCITS - (USD) ACCUMULATING ETF,IE00BK5BQT80,LSE,XLON,22,175.5800,USD,-3862.76,USD,-2982.72,1.2950,-7.46,-2.76,-2992.93,b5338457-e715-47a1-8ced-f7adf7925ea4
29-12-2025,09:00,CARREFOUR SA,FR0000120172,EPA,XPAR,114,14.1250,EUR,-1610.25,EUR,-1495.93,1.0764,-3.74,-4.56,-1504.23,4f5fb326-fe38-46b6-8ad9-b3291d4340b4
26-12-2025,17:31,ADR ON SANOFI SA,US80105N1054,NDQ,XNAS,52,48.3400,USD,-2513.68,USD,-1986.04,1.2657,-4.97,-1.86,-1992.86,8a2d5ee9-af14-4006-b130-357701c79b80
26-12-2025,16:00,"DYNEX CAPITAL, INC.",US26817Q8868,NSY,XNYS,182,13.9300,USD,-2535.26,USD,-1999.35,1.2680,-5.00,-1.86,-2006.21,2ca75c5a-745c-4b95-9659-247196394f92
04-12-2025,14:27,VONOVIA SE,DE000A1ML7J1,XET,XETA,85,25.4000,EUR,-2159.00,EUR,-2016.52,1.0707,-5.04,-4.59,-2026.15,1f193069-30f9-47a2-8287-1a34f1356aa3
04-12-2025,10:13,STADLER RAIL AG,CH0002178181,SWX,CCEU,104,19.0400,CHF,-1980.16,CHF,-1980.16,,0.00,-6.00,-1986.16,50e03dbf-c8e1-45db-9ab2-10d729cf11ca
17-11-2025,15:31,UNITED PARCEL SERVICE INC CLASS B,US9113121068,NSY,XNYS,16,94.1200,USD,-1505.92,USD,-1197.70,1.2573,-2.99,-1.85,-1202.55,5e98f473-651b-40f1-b369-3be6c2bb808e
17-11-2025,11:37,PFIZER INC.,US7170811035,TDG,XGAT,63,21.5650,EUR,-1358.60,EUR,-1253.31,1.0840,-3.13,-3.61,-1260.05,987fb0cd-6d21-4179-9ec9-f0fa056e2370
17-11-2025,08:06,TARGET CORP,US87612E1064,TDG,XGAT,18,77.3800,EUR,-1392.84,EUR,-1284.21,1.0846,-3.21,-3.60,-1291.02,585147a4-51c5-4f71-a2a2-8f610baf7c33
17-11-2025,07:49,SANOFI SA,FR0000120578,TDG,XGAT,60,89.7200,EUR,-5383.20,EUR,-4963.88,1.0845,-12.41,-3.61,-4979.90,06ee7dce-b744-40db-b26c-62143048a0da
17-11-2025,07:30,CONSTELLATION SOFTWARE INC.,CA21037X1006,TDG,XGAT,1,2060.0000,EUR,-2060.00,EUR,-1899.95,1.0842,-4.75,-3.61,-1908.31,3744952e-5cb0-4abb-85c3-f32f2d1cc7ff
13-11-2025,12:29,BARRY CALLEBAUT AG,CH0009002962,SWX,CCEU,-5,1235.0000,CHF,6175.00,CHF,6175.00,,0.00,-6.00,6169.00,41989b03-b842-4c40-a7e8-45d2d016c932
10-11-2025,16:45,PFIZER INC.,US7170811035,TDG,XGAT,15,20.8500,EUR,-312.75,EUR,-291.36,1.0734,-0.73,-3.64,-295.73,8cc3120f-dd13-40e6-8a3a-b9e716271935
10-11-2025,16:17,"TAKE-TWO INTERACTIVE SOFTWARE, INC.",US8740541094,TDG,XGAT,3,204.0000,EUR,-612.00,EUR,-569.84,1.0740,-1.42,-3.64,-574.90,e904f0d7-2e78-4d7e-8a47-9218c1a22920
06-11-2025,00:00,ELSE NUTRITION HOLDINGS INC,CA2902571041,TOR,,-800,0.0150,CAD,12.00,CAD,6.88,1.7440,0.00,,6.88,
06-11-2025,00:00,ELSE NUTRITION HOLDINGS INC,CA2902575000,TOR,,80,0.1500,CAD,-12.00,CAD,-6.88,1.7440,0.00,,-6.88,
04-11-2025,09:00,ISHARES NASDAQ 100 UCITS ETF USD (ACC),IE00B53SZB19,LSE,XLON,1,1470.8000,USD,-1470.80,USD,-1187.70,1.2384,-2.97,-2.80,-1193.47,a0cc6ad3-56ea-45b8-b5ab-e81d4e4c261f
04-11-2025,09:00,VANGUARD FTSE ALL-WORLD UCITS - (USD) ACCUMULATING ETF,IE00BK5BQT80,LSE,XLON,15,166.7800,USD,-2501.70,USD,-2020.12,1.2384,-5.05,-2.80,-2027.97,19abe0ae-b1b4-4b09-9034-27fcfecc5161
04-11-2025,09:00,VANGUARD S&P 500 UCITS ETF USD ACC,IE00BFMXXD54,LSE,XLON,9,130.2800,USD,-1172.52,USD,-946.81,1.2384,-2.37,-2.80,-951.98,e43290d2-635d-4388-ac7b-8a7981295ca5
